image_id,model,age,face_confidence,gender,gender_confidence,race,race_confidence
10034,DeepFace,30-39,0.97,Male,98.960884,Black,90.26018
10035,DeepFace,20-29,0.97,Female,51.824295,Middle Eastern,28.78812
10036,DeepFace,30-39,0.9,Female,98.76462,Latino_Hispanic,57.719196
10037,DeepFace,20-29,0.96,Male,93.44295,Asian,78.786934
10038,DeepFace,30-39,0.93,Male,75.48596,Asian,47.82763
10039,DeepFace,30-39,0.0,Male,99.566635,White,43.316036
1004,DeepFace,30-39,0.93,Male,98.74408,Middle Eastern,28.699047
10040,DeepFace,20-29,0.95,Male,97.46179,Asian,39.662537
10041,DeepFace,20-29,0.94,Male,96.88057,Black,99.715805
10042,DeepFace,30-39,0.0,Male,99.14962,Asian,36.522644
10043,DeepFace,20-29,0.99,Male,83.509254,Asian,69.75943
10044,DeepFace,30-39,0.89,Male,99.39521,Asian,38.18629
10045,DeepFace,30-39,0.0,Male,99.999985,Middle Eastern,39.68
10046,DeepFace,30-39,0.0,Male,59.818405,Indian,46.56006
10047,DeepFace,30-39,0.98,Female,64.557884,White,24.649199
10048,DeepFace,30-39,0.96,Female,97.841545,Black,74.66233
10049,DeepFace,20-29,0.0,Male,98.30133,White,81.38388
1005,DeepFace,40-49,0.92,Male,99.7809,Asian,64.54984
10050,DeepFace,20-29,0.95,Male,99.99132,Black,100.0
10051,DeepFace,30-39,0.98,Male,79.119896,White,45.503723
10052,DeepFace,20-29,0.97,Male,99.267136,Indian,30.502796
10053,DeepFace,20-29,0.0,Male,91.08666,Black,99.99997
10054,DeepFace,30-39,0.93,Male,99.95229,Middle Eastern,74.41238
10055,DeepFace,20-29,0.95,Male,99.99987,Latino_Hispanic,36.05009
10056,DeepFace,20-29,0.0,Male,93.54779,White,65.11278
10057,DeepFace,30-39,0.89,Female,80.07823,Black,37.118683
10058,DeepFace,20-29,0.99,Male,96.54003,Asian,43.428555
10059,DeepFace,40-49,0.95,Male,99.734184,Middle Eastern,49.95674
1006,DeepFace,30-39,0.93,Female,99.99944,White,49.45649
10060,DeepFace,30-39,0.95,Male,68.40955,Asian,25.987194
10061,DeepFace,40-49,0.96,Male,91.29845,White,63.31361
10062,DeepFace,30-39,0.9,Female,98.91912,Latino_Hispanic,30.273468
10063,DeepFace,20-29,0.0,Male,99.14119,Black,77.22923
10064,DeepFace,20-29,0.0,Male,97.90634,Black,99.795494
10065,DeepFace,20-29,0.93,Male,94.73832,White,82.953476
10066,DeepFace,30-39,0.93,Male,85.431564,White,41.996223
10067,DeepFace,20-29,0.93,Male,95.908554,White,44.17533
10068,DeepFace,30-39,0.0,Female,66.514275,Middle Eastern,27.392042
10069,DeepFace,30-39,0.96,Male,91.377075,Black,99.99856
1007,DeepFace,30-39,0.97,Male,87.842476,Middle Eastern,33.01459
10070,DeepFace,40-49,0.93,Male,98.95857,White,42.759384
10071,DeepFace,30-39,0.95,Male,99.47506,Black,83.10912
10072,DeepFace,20-29,0.0,Male,76.82257,White,86.691025
10073,DeepFace,30-39,0.0,Male,95.39047,White,42.243076
10074,DeepFace,30-39,0.95,Male,90.81806,Asian,39.98415
10075,DeepFace,30-39,0.94,Female,92.83914,Asian,100.0
10076,DeepFace,30-39,0.95,Male,53.893913,White,34.170475
10077,DeepFace,20-29,0.0,Male,94.114044,Asian,99.61541
10078,DeepFace,20-29,0.94,Male,99.54815,Black,100.0
10079,DeepFace,30-39,0.96,Female,82.37564,Asian,38.917892
1008,DeepFace,20-29,0.0,Male,62.59473,Indian,49.310917
10080,DeepFace,20-29,0.0,Male,99.60249,Black,97.44794
10081,DeepFace,30-39,0.94,Male,98.89831,Asian,49.313858
10082,DeepFace,30-39,0.0,Male,93.70102,Asian,99.05441
10083,DeepFace,30-39,0.0,Male,98.20904,White,81.937706
10084,DeepFace,20-29,0.0,Male,99.99782,Middle Eastern,38.455708
10085,DeepFace,30-39,0.9,Male,96.61246,Asian,99.954765
10086,DeepFace,40-49,0.0,Male,98.769424,White,37.72114
10087,DeepFace,30-39,0.94,Male,99.60741,Latino_Hispanic,58.25158
10088,DeepFace,30-39,0.0,Male,97.01776,Asian,36.528954
10089,DeepFace,30-39,0.0,Male,61.56964,White,62.788986
1009,DeepFace,20-29,0.97,Female,91.06839,Asian,96.96996
10090,DeepFace,20-29,0.95,Male,98.039055,Asian,60.943817
10091,DeepFace,20-29,0.95,Male,99.996635,Middle Eastern,47.124893
10092,DeepFace,30-39,0.95,Male,94.00462,Asian,37.331627
10093,DeepFace,20-29,0.0,Female,95.36532,White,74.21037
10094,DeepFace,30-39,0.0,Male,99.12202,Black,99.987625
10095,DeepFace,30-39,0.94,Male,90.5626,White,67.713646
10096,DeepFace,30-39,0.96,Male,97.5298,Asian,66.74122
10097,DeepFace,20-29,0.0,Male,83.486374,Black,99.99612
10098,DeepFace,30-39,0.94,Male,98.083664,Asian,40.900826
10099,DeepFace,30-39,0.92,Male,75.78793,Asian,49.50366
101,DeepFace,20-29,0.93,Male,99.6942,Latino_Hispanic,30.14385
1010,DeepFace,30-39,0.0,Male,99.92894,Indian,88.431595
10100,DeepFace,30-39,0.94,Female,99.999954,White,83.32737
10101,DeepFace,30-39,0.0,Male,99.325356,Middle Eastern,96.234886
10102,DeepFace,20-29,0.0,Male,98.65513,Black,86.6054
10103,DeepFace,30-39,0.89,Male,93.22462,Black,29.346815
10104,DeepFace,30-39,0.92,Male,98.61969,White,32.142796
10105,DeepFace,40-49,0.95,Male,99.9325,Middle Eastern,33.94505
10106,DeepFace,20-29,0.96,Female,99.87292,White,59.17262
10107,DeepFace,20-29,0.92,Male,99.004974,Asian,68.39108
10108,DeepFace,20-29,0.0,Male,99.86903,Middle Eastern,50.30201
10109,DeepFace,30-39,0.0,Male,98.47016,White,75.94122
1011,DeepFace,20-29,0.93,Female,58.914417,Asian,99.99928
10110,DeepFace,30-39,0.0,Male,58.618347,White,49.46897
10111,DeepFace,20-29,0.89,Male,99.86732,Latino_Hispanic,42.782112
10112,DeepFace,20-29,0.92,Male,94.17712,Latino_Hispanic,33.477516
10113,DeepFace,20-29,0.91,Male,99.6897,White,72.76383
10114,DeepFace,20-29,0.9,Female,97.41332,White,29.491913
10115,DeepFace,30-39,0.0,Male,92.35178,Asian,81.830154
10116,DeepFace,20-29,0.91,Female,99.20917,Asian,94.47231
10117,DeepFace,30-39,0.0,Male,85.23196,Black,75.81703
10118,DeepFace,40-49,0.93,Female,99.9547,White,99.985146
10119,DeepFace,30-39,0.95,Male,93.02108,Asian,50.660675
1012,DeepFace,30-39,0.97,Male,99.837616,Black,99.883286
10120,DeepFace,30-39,0.0,Male,94.64516,Asian,47.613533
10121,DeepFace,30-39,0.0,Male,93.285904,Asian,61.636505
10122,DeepFace,20-29,0.94,Male,99.03225,Latino_Hispanic,43.440945
10123,DeepFace,20-29,0.96,Male,63.527405,White,28.654451
10124,DeepFace,30-39,0.94,Male,82.292366,Indian,51.972813
10125,DeepFace,20-29,0.94,Male,99.84688,Latino_Hispanic,25.960299
10126,DeepFace,30-39,0.0,Male,99.25931,Black,65.13788
10127,DeepFace,20-29,0.0,Male,98.63852,White,30.05489
10128,DeepFace,40-49,0.0,Male,71.68194,Black,99.822845
10129,DeepFace,30-39,0.93,Male,99.65168,Black,40.09875
1013,DeepFace,30-39,0.93,Female,86.80001,White,43.553364
10130,DeepFace,40-49,0.92,Female,99.768974,Latino_Hispanic,33.80756
10131,DeepFace,30-39,0.0,Male,99.64895,White,54.80445
10132,DeepFace,30-39,0.96,Male,83.76665,Asian,55.403294
10133,DeepFace,20-29,0.97,Male,99.55214,Asian,85.89116
10134,DeepFace,30-39,0.92,Female,59.87485,Asian,98.07426
10135,DeepFace,30-39,0.93,Female,99.94813,White,73.87012
10136,DeepFace,30-39,0.9,Female,99.99976,Black,68.48384
10137,DeepFace,30-39,0.96,Male,50.723957,Asian,83.04466
10138,DeepFace,30-39,0.9,Male,99.99938,White,80.40807
10139,DeepFace,30-39,0.0,Male,96.50574,Black,22.87068
1014,DeepFace,30-39,0.0,Male,94.93802,White,60.09226
10140,DeepFace,30-39,0.92,Male,99.748116,White,97.8664
10141,DeepFace,30-39,0.0,Female,97.09916,Black,53.402184
10142,DeepFace,30-39,0.94,Male,80.57156,White,49.48819
10143,DeepFace,30-39,0.0,Female,56.883503,Latino_Hispanic,38.606113
10144,DeepFace,20-29,0.95,Male,96.59046,White,40.419724
10145,DeepFace,40-49,1.0,Male,96.59127,Black,99.974434
10146,DeepFace,20-29,0.0,Male,91.70361,Black,34.58604
10147,DeepFace,30-39,0.96,Male,99.86279,Middle Eastern,52.99412
10148,DeepFace,30-39,0.97,Male,87.27632,Black,95.54553
10149,DeepFace,30-39,0.95,Female,68.30502,Indian,42.071934
1015,DeepFace,30-39,0.95,Female,67.947296,White,34.738617
10150,DeepFace,20-29,0.0,Male,98.71364,Indian,27.890495
10151,DeepFace,30-39,0.0,Male,97.9066,Latino_Hispanic,22.900436
10152,DeepFace,20-29,0.91,Male,99.97882,Indian,44.209972
10153,DeepFace,30-39,0.0,Male,91.46966,White,97.34607
10154,DeepFace,30-39,0.94,Male,56.275665,Asian,80.75617
10155,DeepFace,20-29,0.95,Male,99.655495,Asian,38.671036
10156,DeepFace,30-39,0.95,Male,98.67405,White,85.11798
10157,DeepFace,20-29,0.89,Female,61.164467,Asian,99.87137
10158,DeepFace,30-39,0.0,Male,99.97644,Middle Eastern,33.45897
10159,DeepFace,30-39,0.93,Female,65.158066,Asian,37.692177
1016,DeepFace,30-39,0.96,Male,97.42576,Middle Eastern,38.971333
10160,DeepFace,30-39,0.95,Male,89.44555,Asian,45.360912
10161,DeepFace,20-29,0.91,Male,93.72651,Asian,44.319077
10162,DeepFace,40-49,0.96,Male,99.91732,Middle Eastern,62.16487
10163,DeepFace,20-29,0.0,Female,56.943893,Asian,32.05719
10164,DeepFace,30-39,0.98,Female,76.42003,White,83.68543
10165,DeepFace,30-39,0.0,Female,72.17452,Black,40.944893
10166,DeepFace,20-29,0.97,Male,93.63664,Asian,99.96906
10167,DeepFace,30-39,0.94,Female,66.358894,Black,91.977394
10168,DeepFace,30-39,0.92,Male,98.95929,Black,99.9643
10169,DeepFace,30-39,0.0,Male,98.078476,Asian,99.390305
1017,DeepFace,30-39,0.0,Male,91.30196,White,41.372112
10170,DeepFace,30-39,0.96,Male,64.5828,White,47.72183
10171,DeepFace,20-29,0.97,Female,97.11212,Latino_Hispanic,54.362747
10172,DeepFace,20-29,0.91,Male,99.4714,Middle Eastern,46.452118
10173,DeepFace,20-29,0.0,Male,94.96516,Black,19.343035
10174,DeepFace,30-39,0.0,Male,94.73887,Indian,41.11814
10175,DeepFace,20-29,0.0,Male,98.5858,Asian,58.569347
10176,DeepFace,30-39,0.93,Female,95.32977,White,49.90978
10177,DeepFace,30-39,0.94,Female,89.83489,Asian,99.512924
10178,DeepFace,30-39,0.94,Female,99.97562,Latino_Hispanic,33.393227
10179,DeepFace,20-29,0.89,Male,99.345436,White,38.179752
1018,DeepFace,30-39,0.95,Male,99.87294,Black,88.13648
10180,DeepFace,20-29,0.92,Male,94.63829,White,73.98863
10181,DeepFace,30-39,0.93,Female,99.92353,White,47.393673
10182,DeepFace,40-49,0.93,Male,82.77762,White,35.942833
10183,DeepFace,20-29,0.91,Male,99.99902,Indian,95.651566
10184,DeepFace,30-39,0.98,Male,65.966934,Latino_Hispanic,29.975077
10185,DeepFace,20-29,0.0,Male,99.01231,Latino_Hispanic,21.725023
10186,DeepFace,30-39,0.97,Female,98.80391,Middle Eastern,35.07419
10187,DeepFace,20-29,0.88,Female,50.67755,Asian,40.397194
10188,DeepFace,30-39,0.0,Male,99.31904,Asian,41.420387
10189,DeepFace,30-39,0.0,Male,77.26998,White,44.722076
1019,DeepFace,30-39,0.0,Male,98.016464,Black,50.079693
10190,DeepFace,20-29,0.92,Male,89.89374,Asian,99.96222
10191,DeepFace,20-29,0.95,Male,98.628204,Asian,99.46146
10192,DeepFace,30-39,0.0,Male,99.5008,Asian,45.64335
10193,DeepFace,30-39,0.94,Male,99.88677,Asian,92.93697
10194,DeepFace,30-39,0.0,Female,98.57536,Middle Eastern,35.642437
10195,DeepFace,20-29,0.98,Male,95.5405,White,88.636246
10196,DeepFace,40-49,0.0,Female,92.344765,Indian,32.978504
10197,DeepFace,30-39,0.96,Male,87.424515,Asian,94.10118
10198,DeepFace,20-29,0.0,Female,61.216415,White,98.116615
10199,DeepFace,20-29,0.95,Male,77.73586,Black,85.59534
102,DeepFace,30-39,0.94,Male,99.99398,White,62.793858
1020,DeepFace,20-29,0.93,Male,99.90111,Black,100.0
10200,DeepFace,30-39,0.93,Male,99.18058,Black,100.0
10201,DeepFace,30-39,0.9,Female,57.439644,Latino_Hispanic,30.214075
10202,DeepFace,30-39,0.98,Female,62.255116,White,47.067635
10203,DeepFace,30-39,0.0,Male,98.71833,White,63.074535
10204,DeepFace,20-29,0.93,Male,94.46728,Asian,97.44902
10205,DeepFace,30-39,0.92,Male,96.96585,White,38.864727
10206,DeepFace,20-29,0.93,Male,99.990654,Indian,31.312702
10207,DeepFace,20-29,0.95,Male,95.952446,Asian,99.99928
10208,DeepFace,30-39,0.94,Male,97.572845,Asian,99.6735
10209,DeepFace,50-59,0.91,Male,99.93282,White,51.724586
1021,DeepFace,30-39,0.94,Female,96.78889,Asian,96.85554
10210,DeepFace,20-29,0.0,Male,98.631355,Latino_Hispanic,26.112135
10211,DeepFace,30-39,0.95,Female,63.437218,White,41.260193
10212,DeepFace,30-39,0.0,Male,91.7422,White,65.495476
10213,DeepFace,30-39,0.91,Male,90.021034,Black,34.049385
10214,DeepFace,20-29,0.94,Male,99.81275,Latino_Hispanic,29.478827
10215,DeepFace,30-39,0.96,Male,99.43228,White,77.172356
10216,DeepFace,30-39,0.0,Male,72.50978,White,38.27687
10217,DeepFace,30-39,0.0,Male,97.406624,Black,95.54213
10218,DeepFace,30-39,0.96,Male,97.849205,Asian,62.572384
10219,DeepFace,20-29,0.97,Male,97.399605,White,76.501755
1022,DeepFace,20-29,0.96,Male,98.12248,Asian,43.37211
10220,DeepFace,20-29,0.93,Male,99.2875,Latino_Hispanic,31.048712
10221,DeepFace,20-29,0.91,Male,88.09601,Asian,91.0316
10222,DeepFace,20-29,0.91,Male,94.27684,Asian,65.519714
10223,DeepFace,30-39,0.93,Male,99.8922,Middle Eastern,38.88633
10224,DeepFace,30-39,0.93,Female,99.99277,Asian,99.996574
10225,DeepFace,20-29,0.95,Male,99.86165,Black,26.765854
10226,DeepFace,30-39,0.0,Male,99.853836,Black,56.91787
10227,DeepFace,30-39,0.95,Female,91.14745,White,97.87789
10228,DeepFace,30-39,0.94,Male,94.89742,Asian,99.62283
10229,DeepFace,20-29,0.93,Male,94.685684,Middle Eastern,31.175226
1023,DeepFace,20-29,0.0,Female,70.66363,Asian,31.725946
10230,DeepFace,30-39,0.92,Male,50.03708,Middle Eastern,30.689503
10231,DeepFace,30-39,0.95,Male,70.162544,White,91.937744
10232,DeepFace,30-39,0.95,Male,99.94399,Indian,46.11846
10233,DeepFace,20-29,0.0,Male,82.81342,Asian,54.113983
10234,DeepFace,30-39,0.97,Male,53.153545,Asian,48.00134
10235,DeepFace,30-39,0.93,Male,97.05057,Latino_Hispanic,46.53021
10236,DeepFace,30-39,0.95,Male,87.07868,Middle Eastern,36.982086
10237,DeepFace,20-29,0.0,Male,78.81715,Indian,43.94326
10238,DeepFace,20-29,0.95,Male,87.7893,Latino_Hispanic,32.00454
10239,DeepFace,20-29,0.0,Male,96.45344,White,61.441696
1024,DeepFace,20-29,0.0,Male,98.08823,Middle Eastern,62.524433
10240,DeepFace,20-29,0.95,Male,93.75226,Asian,45.48211
10241,DeepFace,20-29,0.91,Male,99.541985,Latino_Hispanic,44.501774
10242,DeepFace,30-39,0.89,Male,71.07129,Latino_Hispanic,30.022625
10243,DeepFace,40-49,0.95,Male,98.22159,Latino_Hispanic,26.17847
10244,DeepFace,20-29,0.93,Male,99.97191,Indian,44.351494
10245,DeepFace,30-39,0.0,Male,86.16647,Black,98.701454
10246,DeepFace,30-39,0.89,Female,98.90471,Latino_Hispanic,48.316788
10247,DeepFace,40-49,0.96,Male,99.19443,Asian,38.4124
10248,DeepFace,30-39,0.97,Male,70.29447,White,43.395687
10249,DeepFace,20-29,0.94,Male,99.90699,Indian,79.19547
1025,DeepFace,20-29,0.89,Male,99.99211,Black,95.0812
10250,DeepFace,30-39,0.0,Male,89.182846,White,41.23818
10251,DeepFace,40-49,0.95,Male,99.956825,Middle Eastern,88.968704
10252,DeepFace,20-29,0.92,Male,99.10969,Black,40.10134
10253,DeepFace,30-39,0.95,Male,99.97486,Middle Eastern,61.12199
10254,DeepFace,40-49,1.0,Male,99.26853,Middle Eastern,55.199505
10255,DeepFace,30-39,0.0,Male,98.61669,Black,30.017921
10256,DeepFace,20-29,0.0,Male,90.28281,Asian,53.017555
10257,DeepFace,20-29,0.0,Male,99.65028,White,63.72211
10258,DeepFace,20-29,0.94,Male,99.88374,Middle Eastern,41.28994
10259,DeepFace,30-39,0.92,Male,99.93174,White,29.458979
1026,DeepFace,30-39,0.94,Male,78.85252,White,37.288807
10260,DeepFace,30-39,0.93,Female,98.544846,Black,35.8172
10261,DeepFace,30-39,0.92,Female,99.99991,White,60.823727
10262,DeepFace,30-39,0.0,Female,94.708145,Asian,99.70689
10263,DeepFace,20-29,0.94,Male,94.31249,White,70.20119
10264,DeepFace,20-29,0.93,Female,79.70427,Asian,99.49642
10265,DeepFace,30-39,0.96,Male,75.71442,White,82.740486
10266,DeepFace,30-39,0.92,Male,86.50318,Latino_Hispanic,44.094704
10267,DeepFace,20-29,0.95,Male,66.541336,White,42.1033
10268,DeepFace,20-29,0.0,Male,90.78858,Latino_Hispanic,25.536654
10269,DeepFace,30-39,0.0,Male,98.28713,White,97.23846
1027,DeepFace,20-29,0.92,Male,98.87119,Asian,48.35564
10270,DeepFace,30-39,0.0,Male,99.81293,Asian,86.50916
10271,DeepFace,20-29,0.93,Male,99.81883,Asian,60.53536
10272,DeepFace,20-29,0.0,Male,96.617744,Asian,99.45178
10273,DeepFace,30-39,0.88,Male,94.597275,Asian,83.671715
10274,DeepFace,30-39,0.0,Male,99.475914,White,54.06552
10275,DeepFace,30-39,0.93,Male,99.43995,Middle Eastern,27.29893
10276,DeepFace,30-39,0.97,Female,94.66306,Latino_Hispanic,37.92807
10277,DeepFace,20-29,0.0,Male,80.25992,Indian,77.29136
10278,DeepFace,20-29,0.94,Male,72.96523,Asian,96.61037
10279,DeepFace,30-39,0.92,Female,99.25359,Asian,98.77266
1028,DeepFace,20-29,0.0,Male,93.86516,Asian,70.63241
10280,DeepFace,30-39,0.97,Male,83.48774,Latino_Hispanic,27.751764
10281,DeepFace,20-29,0.94,Male,99.90687,Latino_Hispanic,32.708508
10282,DeepFace,30-39,0.96,Male,96.9023,Black,21.165777
10283,DeepFace,20-29,0.0,Male,67.20356,White,58.451263
10284,DeepFace,20-29,0.94,Male,97.68795,Latino_Hispanic,28.264326
10285,DeepFace,30-39,0.94,Male,99.98391,Latino_Hispanic,39.940662
10286,DeepFace,30-39,0.93,Male,77.96692,Asian,69.28396
10287,DeepFace,20-29,0.95,Male,99.98841,Middle Eastern,50.618332
10288,DeepFace,20-29,0.0,Male,91.33296,Black,35.221233
10289,DeepFace,20-29,0.91,Male,99.67128,Asian,31.148966
1029,DeepFace,20-29,0.91,Male,85.70092,White,46.975002
10290,DeepFace,20-29,0.0,Male,98.5042,Black,99.999535
10291,DeepFace,30-39,0.9,Male,99.99156,Latino_Hispanic,45.803616
10292,DeepFace,30-39,0.0,Male,93.01167,White,93.78375
10293,DeepFace,30-39,0.92,Male,51.070637,White,98.1133
10294,DeepFace,30-39,0.94,Male,99.18439,Black,75.48059
10295,DeepFace,20-29,0.0,Male,98.94891,Asian,90.993385
10296,DeepFace,20-29,0.91,Male,99.21188,Asian,96.1621
10297,DeepFace,30-39,0.98,Male,99.79391,White,37.34884
10298,DeepFace,30-39,0.0,Male,87.88426,White,31.376543
10299,DeepFace,30-39,0.0,Male,83.7497,Indian,25.269272
103,DeepFace,40-49,0.0,Male,91.75514,Indian,51.265778
1030,DeepFace,30-39,0.94,Male,99.757416,Asian,47.55636
10300,DeepFace,20-29,0.96,Male,99.97838,Asian,24.539576
10301,DeepFace,30-39,0.97,Female,61.94125,White,66.82072
10302,DeepFace,30-39,0.0,Male,97.01821,Asian,88.17898
10303,DeepFace,30-39,0.95,Female,98.03334,Black,85.91531
10304,DeepFace,30-39,0.97,Male,98.59782,White,41.903595
10305,DeepFace,20-29,0.9,Female,99.96821,Asian,65.17435
10306,DeepFace,40-49,0.0,Male,99.54471,White,99.95873
10307,DeepFace,50-59,0.93,Male,99.56044,White,24.918736
10308,DeepFace,30-39,0.91,Female,99.99159,White,87.769394
10309,DeepFace,20-29,0.92,Male,99.98656,Indian,97.67406
1031,DeepFace,20-29,0.93,Male,99.11304,Middle Eastern,40.156174
10310,DeepFace,30-39,0.96,Male,93.75638,Asian,88.47228
10311,DeepFace,20-29,0.92,Male,99.958954,Middle Eastern,41.703136
10312,DeepFace,20-29,0.92,Male,97.485085,Asian,99.071014
10313,DeepFace,30-39,0.94,Male,96.45224,Latino_Hispanic,46.968483
10314,DeepFace,20-29,0.0,Male,95.531586,Asian,99.06875
10315,DeepFace,30-39,0.94,Male,95.849266,Middle Eastern,33.89081
10316,DeepFace,40-49,0.93,Male,99.81541,Middle Eastern,49.712543
10317,DeepFace,20-29,0.98,Male,65.71834,Black,37.35858
10318,DeepFace,30-39,0.0,Male,96.41384,Asian,25.459772
10319,DeepFace,20-29,0.0,Male,72.11746,Asian,58.279392
1032,DeepFace,30-39,0.0,Male,85.35239,White,65.61147
10320,DeepFace,30-39,0.0,Male,95.88812,White,90.45006
10321,DeepFace,20-29,0.0,Male,98.98702,Indian,81.68718
10322,DeepFace,40-49,0.95,Male,97.96065,White,47.171177
10323,DeepFace,30-39,0.91,Female,69.94433,White,32.52582
10324,DeepFace,20-29,0.0,Male,99.50413,White,99.14898
10325,DeepFace,20-29,0.92,Male,83.891785,Asian,99.79311
10326,DeepFace,30-39,0.0,Male,77.93512,White,23.183369
10327,DeepFace,30-39,0.92,Male,97.16169,Latino_Hispanic,36.047318
10328,DeepFace,40-49,0.93,Male,97.59566,Indian,24.283888
10329,DeepFace,30-39,0.0,Male,62.36465,Asian,31.996042
1033,DeepFace,20-29,0.0,Male,91.05779,White,77.57686
10330,DeepFace,30-39,0.93,Male,99.126175,Asian,99.75034
10331,DeepFace,30-39,0.0,Female,77.37931,White,56.33786
10332,DeepFace,20-29,0.0,Male,99.35601,Asian,74.09649
10333,DeepFace,40-49,0.95,Male,98.693,Middle Eastern,48.70369
10334,DeepFace,30-39,0.95,Female,64.62161,White,28.61247
10335,DeepFace,20-29,0.0,Male,69.19286,Black,99.80072
10336,DeepFace,30-39,0.92,Male,99.999985,Indian,53.087738
10337,DeepFace,30-39,0.93,Male,97.80848,Latino_Hispanic,41.282097
10338,DeepFace,30-39,0.89,Female,98.33197,White,34.629642
10339,DeepFace,20-29,0.0,Male,99.43739,Asian,93.95139
1034,DeepFace,20-29,0.93,Male,99.56066,Indian,37.088184
10340,DeepFace,30-39,0.95,Female,97.09536,Asian,99.617096
10341,DeepFace,30-39,0.97,Male,99.97402,Black,71.75946
10342,DeepFace,40-49,0.97,Male,88.76761,Indian,25.10755
10343,DeepFace,20-29,0.0,Male,98.15604,Black,31.23345
10344,DeepFace,30-39,0.92,Male,96.94139,White,54.176304
10345,DeepFace,30-39,0.0,Male,88.461395,Indian,79.0691
10346,DeepFace,30-39,0.95,Female,98.899345,Asian,85.201866
10347,DeepFace,30-39,0.94,Female,97.86992,Asian,85.279884
10348,DeepFace,30-39,0.91,Male,62.0592,White,38.990047
10349,DeepFace,30-39,0.94,Male,99.06139,Asian,97.845604
1035,DeepFace,20-29,0.87,Male,99.99758,Middle Eastern,55.80722
10350,DeepFace,30-39,0.91,Female,99.876656,Middle Eastern,44.140045
10351,DeepFace,30-39,0.94,Female,66.68321,Asian,100.0
10352,DeepFace,30-39,0.97,Male,98.011955,Middle Eastern,39.445614
10353,DeepFace,20-29,0.0,Male,98.997185,Black,99.98365
10354,DeepFace,30-39,0.94,Male,70.637474,Indian,99.98528
10355,DeepFace,20-29,0.9,Male,99.927536,Indian,95.32778
10356,DeepFace,20-29,0.96,Male,97.63154,White,55.251686
10357,DeepFace,30-39,0.91,Male,59.848488,White,25.13645
10358,DeepFace,30-39,0.0,Male,96.47757,White,61.418247
10359,DeepFace,20-29,0.96,Male,99.95295,Asian,78.200836
1036,DeepFace,20-29,0.92,Male,99.953964,Asian,95.79354
10360,DeepFace,30-39,0.95,Male,99.99693,Black,100.0
10361,DeepFace,20-29,0.97,Male,89.40652,White,32.590805
10362,DeepFace,30-39,0.0,Male,96.196205,Asian,75.38752
