image_id,model,age,age_confidence,gender,gender_confidence,race,race_confidence
10039,Facellm,30-39,0.9,Male,0.9,White,0.9
1004,Facellm,30-39,0.8,Male,0.8,Middle Eastern,0.8
10040,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10041,Facellm,10-19,0.8,Female,0.8,Black,0.8
10042,Facellm,10-19,0.8,Male,0.8,Asian,0.8
10043,Facellm,10-19,0.9,Female,0.9,White,0.9
10044,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10045,Facellm,30-39,0.9,Male,0.9,White,0.9
10046,Facellm,10-19,0.9,Female,0.9,White,0.9
10047,Facellm,30-39,0.9,Female,0.9,White,0.9
10048,Facellm,30-39,0.8,Female,0.8,Black,0.8
10049,Facellm,30-39,0.9,Male,0.9,White,0.9
1005,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10050,Facellm,30-39,0.9,Male,0.9,Black,0.9
10051,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10052,Facellm,10-19,0.8,Female,0.8,Indian,0.8
10053,Facellm,10-19,0.8,Female,0.8,Black,0.8
10054,Facellm,30-39,0.9,Male,0.9,White,0.9
10055,Facellm,10-19,0.9,Male,0.9,White,0.9
10056,Facellm,10-19,0.8,Female,0.8,Black,0.8
10057,Facellm,30-39,0.8,Female,0.8,Indian,0.8
10058,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10059,Facellm,30-39,0.9,Male,0.9,White,0.9
1006,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10060,Facellm,10-19,0.8,Female,0.8,Black,0.8
10061,Facellm,30-39,0.9,Female,0.9,White,0.9
10062,Facellm,10-19,0.8,Female,0.8,Black,0.8
10063,Facellm,30-39,0.8,Female,0.8,Black,0.8
10064,Facellm,30-39,0.8,Male,0.8,Black,0.8
10065,Facellm,10-19,0.9,Female,0.9,White,0.9
10066,Facellm,30-39,0.9,Female,0.9,White,0.9
10067,Facellm,10-19,0.9,Male,0.9,White,0.9
10068,Facellm,30-39,0.8,Female,0.8,Middle Eastern,0.8
10069,Facellm,10-19,0.8,Female,0.8,Black,0.8
1007,Facellm,10-19,0.9,Female,0.9,White,0.9
10070,Facellm,30-39,0.9,Male,0.9,White,0.9
10071,Facellm,30-39,0.8,Female,0.8,Black,0.8
10072,Facellm,30-39,0.9,Female,0.9,White,0.9
10073,Facellm,10-19,0.9,Female,0.9,White,0.9
10074,Facellm,30-39,0.8,Male,0.8,Black,0.8
10075,Facellm,10-19,0.9,Female,0.9,Asian,0.9
10076,Facellm,30-39,0.8,Female,0.8,Latino_Hispanic,0.8
10077,Facellm,10-19,0.9,Male,0.9,Asian,0.9
10078,Facellm,10-19,0.8,Female,0.8,Black,0.8
10079,Facellm,10-19,0.9,Female,0.9,White,0.9
1008,Facellm,30-39,0.5,Female,0.5,Latino_Hispanic,0.5
10080,Facellm,30-39,0.8,Female,0.8,Black,0.8
10081,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10082,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10083,Facellm,30-39,0.9,Male,0.9,White,0.9
10084,Facellm,10-19,0.9,Male,0.9,White,0.9
10085,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10086,Facellm,30-39,0.9,Male,0.9,White,0.9
10087,Facellm,10-19,0.9,Male,0.9,Latino_Hispanic,0.9
10088,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10089,Facellm,10-19,0.8,Female,0.8,White,0.8
1009,Facellm,0-2,0.5,Female,0.5,Asian,0.5
10090,Facellm,0-2,0.9,Female,0.9,White,0.9
10091,Facellm,30-39,0.9,Male,0.9,White,0.9
10092,Facellm,30-39,0.9,Female,0.9,White,0.9
10093,Facellm,10-19,0.9,Female,0.9,White,0.9
10094,Facellm,30-39,0.8,Female,0.8,Black,0.8
10095,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10096,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10097,Facellm,10-19,0.8,Female,0.8,Black,0.8
10098,Facellm,30-39,0.8,Male,0.8,Black,0.8
10099,Facellm,10-19,0.9,Male,0.9,Asian,0.9
101,Facellm,10-19,0.9,Male,0.9,Asian,0.9
1010,Facellm,30-39,0.8,Male,0.8,Indian,0.8
10100,Facellm,30-39,0.8,Female,0.8,White,0.8
10101,Facellm,60-69,0.8,Male,0.8,Middle Eastern,0.8
10102,Facellm,30-39,0.8,Male,0.8,Black,0.8
10103,Facellm,10-19,0.9,Male,0.9,Latino_Hispanic,0.9
10104,Facellm,30-39,0.9,Male,0.9,White,0.9
10105,Facellm,60-69,0.9,Male,0.9,White,0.9
10106,Facellm,10-19,0.9,Female,0.9,White,0.9
10107,Facellm,30-39,0.9,Male,0.9,Asian,0.9
10108,Facellm,30-39,0.9,Male,0.9,White,0.9
10109,Facellm,30-39,0.9,Male,0.9,White,0.9
1011,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10110,Facellm,10-19,0.9,Female,0.9,White,0.9
10111,Facellm,10-19,0.9,Male,0.9,White,0.9
10112,Facellm,10-19,0.9,Male,0.9,Asian,0.9
10113,Facellm,10-19,0.9,Male,0.9,White,0.9
10114,Facellm,10-19,0.9,Female,0.9,White,0.9
10115,Facellm,10-19,0.9,Female,0.9,White,0.9
10116,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10117,Facellm,30-39,0.8,Female,0.8,Indian,0.8
10118,Facellm,30-39,0.9,Female,0.9,White,0.9
10119,Facellm,10-19,0.0,Female,0.0,Black,0.0
1012,Facellm,30-39,0.8,Female,0.8,Black,0.8
10120,Facellm,30-39,0.9,Male,0.9,White,0.9
10121,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10122,Facellm,10-19,0.9,Male,0.9,Indian,0.9
10123,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10124,Facellm,30-39,0.9,Male,0.9,Indian,0.9
10125,Facellm,30-39,0.8,Male,0.8,Black,0.8
10126,Facellm,30-39,0.8,Female,0.8,Black,0.8
10127,Facellm,10-19,0.9,Male,0.9,White,0.9
10128,Facellm,30-39,0.8,Female,0.8,Black,0.8
10129,Facellm,30-39,0.8,Male,0.8,Indian,0.8
1013,Facellm,20-29,0.9,Male,0.9,Asian,0.9
10130,Facellm,30-39,0.9,Female,0.9,Indian,0.9
10131,Facellm,30-39,0.9,Male,0.9,White,0.9
10132,Facellm,10-19,0.8,Female,0.8,Black,0.8
10133,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10134,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10135,Facellm,30-39,0.8,Female,0.8,Latino_Hispanic,0.8
10136,Facellm,30-39,0.8,Female,0.8,Latino_Hispanic,0.8
10137,Facellm,10-19,0.9,Female,0.9,White,0.9
10138,Facellm,10-19,0.9,Male,0.9,White,0.9
10139,Facellm,60-69,0.9,Male,0.9,Asian,0.9
1014,Facellm,30-39,0.9,Male,0.9,White,0.9
10140,Facellm,30-39,0.9,Male,0.9,White,0.9
10141,Facellm,10-19,0.8,Male,0.8,Black,0.8
10142,Facellm,30-39,0.9,Female,0.9,White,0.9
10143,Facellm,0-2,0.5,Female,0.5,Asian,0.5
10144,Facellm,0-2,0.9,Female,0.9,White,0.9
10145,Facellm,30-39,0.8,Female,0.8,Black,0.8
10146,Facellm,10-19,0.8,Female,0.8,Black,0.8
10147,Facellm,30-39,0.9,Male,0.9,White,0.9
10148,Facellm,10-19,0.8,Female,0.8,Black,0.8
10149,Facellm,10-19,0.9,Female,0.9,Indian,0.9
1015,Facellm,60-69,0.8,Female,0.8,Asian,0.8
10150,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10151,Facellm,10-19,0.9,Male,0.9,White,0.9
10152,Facellm,10-19,0.9,Male,0.9,Latino_Hispanic,0.9
10153,Facellm,30-39,0.9,Female,0.9,White,0.9
10154,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10155,Facellm,10-19,0.5,Female,0.5,Asian,0.5
10156,Facellm,10-19,0.9,Female,0.9,Latino_Hispanic,0.9
10157,Facellm,10-19,0.9,Female,0.9,Asian,0.9
10158,Facellm,60-69,0.9,Male,0.9,Middle Eastern,0.9
10159,Facellm,70+,1.0,Female,0.0,Asian,1.0
1016,Facellm,10-19,0.9,Male,0.9,White,0.9
10160,Facellm,30-39,0.8,Female,0.8,Middle Eastern,0.8
10161,Facellm,0-2,0.5,Female,0.5,Asian,0.5
10162,Facellm,30-39,0.9,Male,0.9,White,0.9
10163,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10164,Facellm,30-39,0.9,Male,0.9,White,0.9
10165,Facellm,10-19,0.8,Female,0.8,Black,0.8
10166,Facellm,0-2,0.5,Female,0.5,Asian,0.5
10167,Facellm,10-19,0.8,Female,0.8,Black,0.8
10168,Facellm,10-19,0.9,Male,0.9,Black,0.9
10169,Facellm,10-19,0.8,Female,0.8,Asian,0.8
1017,Facellm,30-39,0.8,Female,0.8,White,0.8
10170,Facellm,60-69,0.9,Female,0.9,White,0.9
10171,Facellm,10-19,0.9,Female,0.9,White,0.9
10172,Facellm,10-19,0.9,Female,0.9,Indian,0.9
10173,Facellm,10-19,0.8,Female,0.8,Black,0.8
10174,Facellm,10-19,0.9,Female,0.9,Latino_Hispanic,0.9
10175,Facellm,10-19,0.9,Female,0.9,Indian,0.9
10176,Facellm,10-19,0.9,Female,0.9,White,0.9
10177,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10178,Facellm,10-19,0.9,Female,0.9,Latino_Hispanic,0.9
10179,Facellm,10-19,0.9,Male,0.9,White,0.9
1018,Facellm,30-39,0.8,Male,0.8,Black,0.8
10180,Facellm,10-19,0.9,Female,0.9,White,0.9
10181,Facellm,10-19,0.9,Female,0.9,White,0.9
10182,Facellm,30-39,0.9,Female,0.9,White,0.9
10183,Facellm,30-39,0.9,Male,0.9,Indian,0.9
10184,Facellm,10-19,0.9,Female,0.9,White,0.9
10185,Facellm,30-39,0.8,Female,0.8,Indian,0.8
10186,Facellm,10-19,0.9,Female,0.9,White,0.9
10187,Facellm,10-19,0.9,Female,0.9,Indian,0.9
10188,Facellm,10-19,0.9,Male,0.9,Asian,0.9
10189,Facellm,10-19,0.9,Female,0.9,White,0.9
1019,Facellm,30-39,0.9,Male,0.9,White,0.9
10190,Facellm,30-39,0.9,Female,0.9,Asian,0.9
10191,Facellm,20-29,0.8,Male,0.8,Asian,0.8
10192,Facellm,30-39,0.9,Male,0.9,Indian,0.9
10193,Facellm,10-19,0.5,Female,0.5,Asian,0.5
10194,Facellm,10-19,0.9,Female,0.9,White,0.9
10195,Facellm,30-39,0.9,Female,0.9,White,0.9
10196,Facellm,30-39,0.8,Female,0.8,Black,0.8
10197,Facellm,0-2,0.5,Female,0.5,Asian,0.5
10198,Facellm,10-19,0.9,Female,0.9,White,0.9
10199,Facellm,10-19,0.8,Female,0.8,Black,0.8
102,Facellm,30-39,0.9,Male,0.9,White,0.9
1020,Facellm,30-39,0.9,Female,0.9,Black,0.9
10200,Facellm,10-19,0.5,Female,0.5,Black,0.5
10201,Facellm,30-39,0.9,Male,0.9,White,0.9
10202,Facellm,30-39,0.9,Female,0.9,White,0.9
10203,Facellm,30-39,0.9,Male,0.9,White,0.9
10204,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10205,Facellm,10-19,0.9,Female,0.9,White,0.9
10206,Facellm,10-19,0.9,Male,0.9,White,0.9
10207,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10208,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10209,Facellm,60-69,0.9,Male,0.9,White,0.9
1021,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10210,Facellm,10-19,0.9,Female,0.9,White,0.9
10211,Facellm,30-39,0.8,Female,0.8,Indian,0.8
10212,Facellm,10-19,0.8,Male,0.8,Asian,0.8
10213,Facellm,10-19,0.8,Male,0.8,Indian,0.8
10214,Facellm,30-39,0.9,Male,0.9,White,0.9
10215,Facellm,30-39,0.9,Male,0.9,White,0.9
10216,Facellm,10-19,0.8,Female,0.8,Black,0.8
10217,Facellm,30-39,0.8,Female,0.8,Black,0.8
10218,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10219,Facellm,30-39,0.8,Male,0.8,Middle Eastern,0.8
1022,Facellm,10-19,0.9,Male,0.9,Indian,0.9
10220,Facellm,30-39,0.9,Male,0.9,Indian,0.9
10221,Facellm,10-19,0.5,Female,0.5,Asian,0.5
10222,Facellm,0-2,0.8,Male,0.8,Asian,0.8
10223,Facellm,30-39,0.8,Male,0.8,Middle Eastern,0.8
10224,Facellm,10-19,0.9,Female,0.9,Asian,0.9
10225,Facellm,30-39,0.9,Male,0.9,White,0.9
10226,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10227,Facellm,10-19,0.9,Female,0.9,White,0.9
10228,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10229,Facellm,10-19,0.9,Female,0.9,White,0.9
1023,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10230,Facellm,10-19,0.9,Male,0.9,White,0.9
10231,Facellm,30-39,0.9,Female,0.9,White,0.9
10232,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10233,Facellm,30-39,0.8,Female,0.8,White,0.8
10234,Facellm,10-19,0.9,Male,0.9,Asian,0.9
10235,Facellm,30-39,0.8,Male,0.8,Latino_Hispanic,0.8
10236,Facellm,10-19,0.9,Female,0.9,White,0.9
10237,Facellm,30-39,0.8,Female,0.8,Indian,0.8
10238,Facellm,10-19,1.0,Female,0.0,Indian,1.0
10239,Facellm,30-39,0.9,Male,0.9,Indian,0.9
1024,Facellm,10-19,0.9,Male,0.9,White,0.9
10240,Facellm,10-19,0.9,Male,0.9,Indian,0.9
10241,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10242,Facellm,10-19,0.8,Female,0.8,Black,0.8
10243,Facellm,30-39,0.8,Male,0.8,Middle Eastern,0.8
10244,Facellm,30-39,0.8,Female,0.8,Indian,0.8
10245,Facellm,10-19,0.8,Male,0.8,Black,0.8
10246,Facellm,10-19,0.9,Female,0.9,White,0.9
10247,Facellm,30-39,0.9,Male,0.9,White,0.9
10248,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10249,Facellm,10-19,0.5,Female,0.5,Asian,0.5
1025,Facellm,30-39,0.9,Male,0.9,Black,0.9
10250,Facellm,30-39,0.9,Male,0.9,White,0.9
10251,Facellm,60-69,0.9,Male,0.9,Middle Eastern,0.9
10252,Facellm,10-19,0.8,Male,0.8,Asian,0.8
10253,Facellm,30-39,0.9,Male,0.9,White,0.9
10254,Facellm,30-39,0.9,Male,0.9,White,0.9
10255,Facellm,10-19,0.8,Female,0.8,Black,0.8
10256,Facellm,0-2,0.0,Female,0.0,Asian,0.0
10257,Facellm,10-19,0.9,Male,0.9,White,0.9
10258,Facellm,10-19,0.9,Female,0.9,White,0.9
10259,Facellm,30-39,0.9,Male,0.9,White,0.9
1026,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10260,Facellm,30-39,0.8,Female,0.8,Black,0.8
10261,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10262,Facellm,10-19,0.5,Female,0.5,Asian,0.5
10263,Facellm,10-19,0.9,Female,0.9,White,0.9
10264,Facellm,0-2,0.5,Female,0.5,Asian,0.5
10265,Facellm,10-19,0.9,Female,0.9,Asian,0.9
10266,Facellm,30-39,0.8,Female,0.8,Black,0.8
10267,Facellm,10-19,0.9,Male,0.9,Asian,0.9
10268,Facellm,10-19,0.9,Female,0.9,White,0.9
10269,Facellm,30-39,0.8,Male,0.8,Asian,0.8
1027,Facellm,0-2,1.0,Female,0.0,Asian,1.0
10270,Facellm,0-2,0.8,Male,0.8,Asian,0.8
10271,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10272,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10273,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10274,Facellm,30-39,0.8,Male,0.8,Middle Eastern,0.8
10275,Facellm,30-39,0.8,Male,0.8,Indian,0.8
10276,Facellm,10-19,0.9,Female,0.9,White,0.9
10277,Facellm,30-39,0.9,Female,0.9,Indian,0.9
10278,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10279,Facellm,30-39,0.8,Female,0.8,Asian,0.8
1028,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10280,Facellm,10-19,0.9,Female,0.9,White,0.9
10281,Facellm,10-19,0.8,Male,0.8,Indian,0.8
10282,Facellm,30-39,0.8,Male,0.8,Black,0.8
10283,Facellm,10-19,0.9,Female,0.9,White,0.9
10284,Facellm,30-39,0.9,Male,0.9,White,0.9
10285,Facellm,60-69,0.9,Male,0.9,White,0.9
10286,Facellm,0-2,0.8,Female,0.8,Asian,0.8
10287,Facellm,10-19,0.9,Male,0.9,White,0.9
10288,Facellm,30-39,0.8,Female,0.8,Black,0.8
10289,Facellm,30-39,0.9,Male,0.9,Indian,0.9
1029,Facellm,30-39,0.8,Male,0.8,Black,0.8
10290,Facellm,10-19,0.8,Female,0.8,Black,0.8
10291,Facellm,30-39,0.9,Male,0.9,White,0.9
10292,Facellm,10-19,0.9,Female,0.9,White,0.9
10293,Facellm,10-19,0.8,Female,0.8,White,0.8
10294,Facellm,30-39,0.8,Female,0.8,Black,0.8
10295,Facellm,30-39,0.9,Male,0.9,Asian,0.9
10296,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10297,Facellm,30-39,0.9,Male,0.9,White,0.9
10298,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10299,Facellm,10-19,0.9,Female,0.9,White,0.9
103,Facellm,30-39,0.9,Male,0.9,Indian,0.9
1030,Facellm,30-39,0.9,Male,0.9,Asian,0.9
10300,Facellm,10-19,0.9,Male,0.9,White,0.9
10301,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10302,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10303,Facellm,30-39,0.8,Female,0.8,Black,0.8
10304,Facellm,10-19,0.9,Female,0.9,White,0.9
10305,Facellm,0-2,0.5,Female,0.5,Asian,0.5
10306,Facellm,30-39,0.9,Male,0.9,White,0.9
10307,Facellm,30-39,0.9,Male,0.9,White,0.9
10308,Facellm,10-19,0.9,Female,0.9,White,0.9
10309,Facellm,20-29,0.9,Male,0.9,Indian,0.9
1031,Facellm,10-19,0.9,Male,0.9,White,0.9
10310,Facellm,10-19,0.9,Female,0.9,White,0.9
10311,Facellm,10-19,0.9,Male,0.9,White,0.9
10312,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10313,Facellm,10-19,0.9,Female,0.9,White,0.9
10314,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10315,Facellm,30-39,0.9,Male,0.9,White,0.9
10316,Facellm,30-39,0.9,Male,0.9,White,0.9
10317,Facellm,30-39,0.5,Female,0.5,Asian,0.5
10318,Facellm,10-19,0.9,Male,0.9,White,0.9
10319,Facellm,10-19,0.8,Female,0.8,Asian,0.8
1032,Facellm,30-39,0.9,Male,0.9,Indian,0.9
10320,Facellm,0-2,0.5,Female,0.5,White,0.5
10321,Facellm,30-39,0.8,Male,0.8,Black,0.8
10322,Facellm,30-39,0.9,Male,0.9,White,0.9
10323,Facellm,10-19,0.9,Female,0.9,White,0.9
10324,Facellm,30-39,0.9,Male,0.9,White,0.9
10325,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10326,Facellm,10-19,0.9,Male,0.9,White,0.9
10327,Facellm,30-39,0.9,Female,0.9,Latino_Hispanic,0.9
10328,Facellm,10-19,1.0,Female,0.0,Indian,1.0
10329,Facellm,10-19,0.8,Female,0.8,Asian,0.8
1033,Facellm,30-39,0.9,Male,0.9,White,0.9
10330,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10331,Facellm,30-39,0.9,Female,0.9,White,0.9
10332,Facellm,10-19,0.5,Female,0.5,Asian,0.5
10333,Facellm,60-69,0.9,Male,0.9,White,0.9
10334,Facellm,10-19,0.9,Female,0.9,White,0.9
10335,Facellm,10-19,0.5,Female,0.5,Black,0.5
10336,Facellm,30-39,0.9,Male,0.9,Indian,0.9
10337,Facellm,10-19,0.8,Female,0.8,Latino_Hispanic,0.8
10338,Facellm,10-19,0.8,Female,0.8,White,0.8
10339,Facellm,10-19,0.9,Male,0.9,Asian,0.9
1034,Facellm,10-19,0.8,Male,0.8,Black,0.8
10340,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10341,Facellm,30-39,0.8,Male,0.8,Black,0.8
10342,Facellm,70+,1.0,Female,0.0,Indian,1.0
10343,Facellm,10-19,0.5,Female,0.5,Indian,0.5
10344,Facellm,10-19,0.8,Male,0.8,Middle Eastern,0.8
10345,Facellm,10-19,0.5,Female,0.5,Asian,0.5
10346,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10347,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10348,Facellm,30-39,0.9,Male,0.9,Asian,0.9
10349,Facellm,30-39,0.8,Male,0.8,Asian,0.8
1035,Facellm,30-39,0.8,Male,0.8,Middle Eastern,0.8
10350,Facellm,10-19,0.9,Female,0.9,White,0.9
10351,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10352,Facellm,30-39,0.8,Male,0.8,Middle Eastern,0.8
10353,Facellm,10-19,0.8,Female,0.8,Black,0.8
10354,Facellm,30-39,0.9,Female,0.9,Indian,0.9
10355,Facellm,10-19,0.9,Male,0.9,Indian,0.9
10356,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10357,Facellm,30-39,0.9,Male,0.9,Asian,0.9
10358,Facellm,30-39,0.8,Female,0.8,White,0.8
10359,Facellm,10-19,0.5,Female,0.5,Black,0.5
1036,Facellm,20-29,0.8,Male,0.8,Asian,0.8
10360,Facellm,30-39,0.8,Female,0.8,Black,0.8
10361,Facellm,0-2,0.0,Female,0.0,Indian,1.0
10362,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10363,Facellm,30-39,0.8,Female,0.8,Indian,0.8
10364,Facellm,10-19,0.9,Female,0.9,White,0.9
10365,Facellm,10-19,0.8,Female,0.8,White,0.8
10366,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10367,Facellm,30-39,0.8,Female,0.8,Black,0.8
10368,Facellm,10-19,0.8,Female,0.8,White,0.8
10369,Facellm,10-19,0.8,Female,0.8,Black,0.8
1037,Facellm,10-19,0.9,Female,0.9,White,0.9
10370,Facellm,30-39,0.8,Female,0.8,Indian,0.8
10371,Facellm,30-39,0.8,Female,0.8,White,0.8
10372,Facellm,10-19,0.8,Female,0.8,Black,0.8
10373,Facellm,30-39,0.9,Female,0.9,White,0.9
10374,Facellm,10-19,0.9,Female,0.9,Asian,0.9
10375,Facellm,10-19,0.8,Male,0.8,Asian,0.8
10376,Facellm,30-39,0.8,Male,0.8,Black,0.8
10377,Facellm,10-19,0.9,Female,0.9,White,0.9
10378,Facellm,10-19,0.9,Female,0.9,Indian,0.9
10379,Facellm,10-19,0.9,Female,0.9,White,0.9
1038,Facellm,30-39,0.9,Male,0.9,White,0.9
10380,Facellm,30-39,0.8,Female,0.8,White,0.8
10381,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10382,Facellm,10-19,0.9,Female,0.9,White,0.9
10383,Facellm,10-19,0.9,Female,0.9,White,0.9
10384,Facellm,30-39,0.9,Male,0.9,White,0.9
10385,Facellm,30-39,0.9,Male,0.9,Indian,0.9
10386,Facellm,10-19,0.8,Female,0.8,Black,0.8
10387,Facellm,30-39,0.9,Male,0.9,Indian,0.9
10388,Facellm,30-39,0.9,Male,0.9,White,0.9
10389,Facellm,10-19,0.9,Female,0.9,White,0.9
1039,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10390,Facellm,10-19,0.9,Female,0.9,White,0.9
10391,Facellm,30-39,0.8,Male,0.8,Black,0.8
10392,Facellm,30-39,0.9,Female,0.9,White,0.9
10393,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10394,Facellm,10-19,0.5,Female,0.5,Black,0.5
10395,Facellm,30-39,0.9,Male,0.9,White,0.9
10396,Facellm,10-19,0.9,Female,0.9,Asian,0.9
10397,Facellm,30-39,0.9,Male,0.9,White,0.9
10398,Facellm,10-19,0.8,Female,0.8,Black,0.8
10399,Facellm,30-39,0.8,Female,0.8,Black,0.8
104,Facellm,30-39,0.8,Male,0.8,Middle Eastern,0.8
1040,Facellm,30-39,0.9,Male,0.9,White,0.9
10400,Facellm,30-39,0.9,Female,0.9,White,0.9
10401,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10402,Facellm,10-19,0.9,Male,0.9,Indian,0.9
10403,Facellm,30-39,0.9,Male,0.9,White,0.9
10404,Facellm,30-39,0.8,Female,0.8,Black,0.8
10405,Facellm,60-69,0.9,Male,0.9,White,0.9
10406,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10407,Facellm,10-19,0.9,Female,0.9,White,0.9
10408,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10409,Facellm,30-39,0.9,Female,0.9,White,0.9
